iter	Passed	Remaining
0	1	180
1	3	167
2	5	162
3	6	153
4	7	151
5	9	150
6	11	150
7	46	537
8	48	494
9	50	458
10	54	444
11	57	419
12	61	413
13	81	498
14	84	479
15	88	465
16	99	487
17	101	464
18	103	442
19	105	422
20	107	403
21	109	386
22	111	371
23	112	356
24	114	342
25	116	330
26	117	318
27	119	307
28	121	296
29	122	286
30	124	277
31	126	268
32	128	260
33	129	251
34	131	243
35	132	236
36	134	228
37	136	222
38	137	215
39	139	208
40	140	202
41	141	195
42	142	189
43	144	183
44	146	178
45	147	173
46	149	168
47	151	163
48	152	159
49	154	154
50	156	149
51	157	145
52	159	141
53	160	136
54	161	132
55	163	128
56	164	124
57	166	120
58	167	116
59	169	112
60	170	109
61	172	105
62	173	101
63	174	98
64	176	94
65	177	91
66	179	88
67	180	85
68	182	81
69	183	78
70	184	75
71	185	72
72	186	69
73	188	66
74	189	63
75	191	60
76	192	57
77	193	54
78	195	51
79	196	49
80	197	46
81	199	43
82	200	41
83	201	38
84	202	35
85	204	33
86	205	30
87	207	28
88	208	25
89	209	23
90	210	20
91	211	18
92	213	16
93	214	13
94	215	11
95	217	9
96	218	6
97	220	4
98	221	2
99	222	0
